class,path,x,y
0.0,contrast_adjusted_1/img001.jpg,0.6861111111111111,0.9600938967136151
0.0,contrast_adjusted_1/img001.jpg,0.3805555555555555,0.9530516431924884
0.0,contrast_adjusted_1/img001.jpg,0.9305555555555556,0.931924882629108
0.0,contrast_adjusted_1/img001.jpg,0.5222222222222223,0.9107981220657276
0.0,contrast_adjusted_1/img001.jpg,0.6222222222222222,0.9014084507042254
0.0,contrast_adjusted_1/img001.jpg,0.7416666666666667,0.8826291079812206
0.0,contrast_adjusted_1/img001.jpg,0.4444444444444444,0.8826291079812206
0.0,contrast_adjusted_1/img001.jpg,0.8666666666666667,0.8615023474178404
0.0,contrast_adjusted_1/img001.jpg,0.052777777777777785,0.8544600938967136
0.0,contrast_adjusted_1/img001.jpg,0.7111111111111111,0.8356807511737089
0.0,contrast_adjusted_1/img001.jpg,0.2777777777777778,0.812206572769953
0.0,contrast_adjusted_1/img001.jpg,0.4777777777777778,0.7910798122065728
0.0,contrast_adjusted_1/img001.jpg,0.11388888888888887,0.7910798122065728
0.0,contrast_adjusted_1/img001.jpg,0.4305555555555556,0.7699530516431925
0.0,contrast_adjusted_1/img001.jpg,0.19444444444444445,0.7629107981220657
0.0,contrast_adjusted_1/img001.jpg,0.7388888888888889,0.7347417840375586
0.0,contrast_adjusted_1/img001.jpg,0.8083333333333333,0.7300469483568075
0.0,contrast_adjusted_1/img001.jpg,0.5583333333333333,0.7042253521126759
0.0,contrast_adjusted_1/img001.jpg,0.4611111111111112,0.6596244131455399
0.0,contrast_adjusted_1/img001.jpg,0.9305555555555556,0.6549295774647887
0.0,contrast_adjusted_1/img001.jpg,0.7777777777777778,0.6525821596244131
0.0,contrast_adjusted_1/img001.jpg,0.05833333333333333,0.6502347417840375
0.0,contrast_adjusted_1/img001.jpg,0.6694444444444444,0.647887323943662
0.0,contrast_adjusted_1/img001.jpg,0.19166666666666668,0.6408450704225352
0.0,contrast_adjusted_1/img001.jpg,0.31666666666666665,0.6314553990610329
0.0,contrast_adjusted_1/img001.jpg,0.06388888888888887,0.6150234741784038
0.0,contrast_adjusted_1/img001.jpg,0.7361111111111112,0.6056338028169014
